분기,oil_g,trd_g,d_rrate,rfx_g,lab_g
1990Q3,50.003099152202736,3.5013374093545213,0.4166913552254865,0.9518837861553386,0.9258111313622929
1990Q4,20.593422684892147,5.822772680139554,1.8894980967769448,0.4836157816825448,0.7937745054933376
1991Q1,-44.82212335634736,-4.534407388142414,-0.7780744140951121,-2.0689206373609714,1.1395917389305166
1991Q2,-9.524586285035364,12.672756387872576,1.3330650118369007,-1.0247583716172848,0.5040223238468762
1991Q3,5.388102926854588,-1.4735095917147945,-0.2381936344857358,-0.0044956283382191,0.6286242221862826
1991Q4,3.3940654871814413,7.664622923363851,0.1178859060231332,2.2516266698231924,0.8786698047624029
1992Q1,-13.67533510693324,-5.856702140503067,0.7425473004517613,0.7310771913529024,0.6094694228066075
1992Q2,10.78277518439461,5.119313357371569,-0.3255975184100848,1.012767073490739,0.2383756617210002
1992Q3,0.4658135190345636,-6.373529126496624,-0.2965577775806025,0.2829713624545427,0.07462081277620969
1992Q4,-4.480640862647256,4.354984593697742,-0.915179173558924,0.5296208121933432,0.5263395632173858
1993Q1,-5.274694912174427,-3.5133704692973837,-1.2677092846580005,0.279329383404292,0.7267007688845315
1993Q2,0.3288274793409762,6.520876244952456,-0.7503198714433035,-0.5437722353269336,0.8192449656221077
1993Q3,-10.246686045216258,-1.073581514459443,2.092379564757258,0.686762398082319,0.5494673301177436
1993Q4,-8.317956832820084,6.602551025914938,-1.798025502983113,-0.1198621427565882,0.650610778740033
1994Q1,-8.306659869861344,-0.3075551806716259,-1.6994436957804808,-1.977617922722441,0.9139645401334601
1994Q2,13.941953524974515,10.202626687974758,0.903976286073993,-0.9843077286593171,0.4204455058415291
1994Q3,4.484874550578155,0.2956594009674074,-0.2731277089378352,-1.3851965901761965,0.4822578256489176
1994Q4,-1.5600316379549284,10.519947209519476,1.8582867272655923,-0.3379095157260536,1.201638306131156
1995Q1,2.114159317486086,-0.1611863662973167,2.1683170833077057,-1.9702163794074856,0.7100233243211402
1995Q2,6.937435255893565,10.204805050015151,-0.3799576338550423,-3.593494084653681,0.5075962637378831
1995Q3,-11.00565634147399,-1.630111725655814,-0.3915793068138526,-0.0500302501148297,0.6430526939921606
1995Q4,4.521111492446295,8.081687775637558,-2.045443617135289,0.5375228094415263,0.5823512379819618
1996Q1,9.011722337676131,-0.843423932164189,-0.2751181541171865,0.7977356839029781,0.6012775137697759
1996Q2,4.921753286690622,5.466866838461248,-0.9007105189903335,-0.1727808914744777,0.6423117326050235
1996Q3,6.9323244754784685,-1.2134877188642257,0.7701781589590517,3.3083019517683,0.5832501948185835
1996Q4,11.992464834759751,9.9781728320381,0.1210656719125156,2.069468680509434,0.3892428044026224
1997Q1,-10.70907559636467,-7.881906434714336,0.4449585127716498,3.2300598322314578,0.360598514514512
1997Q2,-15.94121883348607,7.917735886907007,0.4333173049912515,2.266395808388655,0.996440415512894
1997Q3,2.480068759452969,-3.1662033438933257,0.062916001897495,0.2559230806020274,0.4643202294447075
